total_bill,tip,sex,smoker,day,time,size,fraction
16.99,1.01,Female,No,Sun,Dinner,2,0.0594467334
10.34,1.66,Male,No,Sun,Dinner,3,0.1605415861
21.01,3.5,Male,No,Sun,Dinner,3,0.1665873394
23.68,3.31,Male,No,Sun,Dinner,2,0.1397804054
24.59,3.61,Female,No,Sun,Dinner,4,0.1468076454
25.29,4.71,Male,No,Sun,Dinner,4,0.1862396204
8.77,2,Male,No,Sun,Dinner,2,0.228050171
26.88,3.12,Male,No,Sun,Dinner,4,0.1160714286
15.04,1.96,Male,No,Sun,Dinner,2,0.1303191489
14.78,3.23,Male,No,Sun,Dinner,2,0.2185385656
10.27,1.71,Male,No,Sun,Dinner,2,0.1665043817
35.26,5,Female,No,Sun,Dinner,4,0.1418037436
15.42,1.57,Male,No,Sun,Dinner,2,0.1018158236
18.43,3,Male,No,Sun,Dinner,4,0.1627780792
14.83,3.02,Female,No,Sun,Dinner,2,0.2036412677
21.58,3.92,Male,No,Sun,Dinner,2,0.1816496756
10.33,1.67,Female,No,Sun,Dinner,3,0.1616650532
16.29,3.71,Male,No,Sun,Dinner,3,0.2277470841
16.97,3.5,Female,No,Sun,Dinner,3,0.206246317
20.65,3.35,Male,No,Sat,Dinner,3,0.1622276029
17.92,4.08,Male,No,Sat,Dinner,2,0.2276785714
20.29,2.75,Female,No,Sat,Dinner,2,0.1355347462
15.77,2.23,Female,No,Sat,Dinner,2,0.1414077362
39.42,7.58,Male,No,Sat,Dinner,4,0.1922881786
19.82,3.18,Male,No,Sat,Dinner,2,0.160443996
17.81,2.34,Male,No,Sat,Dinner,4,0.1313868613
13.37,2,Male,No,Sat,Dinner,2,0.1495886313
12.69,2,Male,No,Sat,Dinner,2,0.1576044129
21.7,4.3,Male,No,Sat,Dinner,2,0.198156682
19.65,3,Female,No,Sat,Dinner,2,0.1526717557
9.55,1.45,Male,No,Sat,Dinner,2,0.1518324607
18.35,2.5,Male,No,Sat,Dinner,4,0.136239782
15.06,3,Female,No,Sat,Dinner,2,0.1992031873
